SC #,Bartlett 1939 #,Bartlett 1916 #,Title,Year
586,577,391,Love's Labors Lost,1631
1549,1216,882,Troilus and Cressida,1609
779,759,542,A Midsummer Night's Dream,1619
492,518,339,King Lear,1619
1483,1176,848,The Taming of a/the Shrew,1631
82,59,47,Hamlet,1637
324,366,248,Henry V,1619
696,676,471,The Merchant of Venice,1652
982.5,917,0,Othello,1695
1350,1108,793,Romeo and Juliet,1599
524,545,364,King Lear,1655
387.7,409,0,Julius Caesar,1684
1403.5,1156,831,Romeo and Juliet,1637
1243,1012,721,Richard II,1634
892,852,610,Othello,1655
455,0,292,Julius Caesar,1695
913,878,0,Othello,1681
969,912,647,Othello,1695
442,465,0,Julius Caesar,1695
891,851,0,Othello,1655
599,568,383,Love's Labors Lost,1631
377,401,269,Julius Caesar,1684
43,18,15,Hamlet,1611
37,11,10,Hamlet,1611
76,51,39,Hamlet,1637
198,214,131,1 Henry IV,1599
256,271,179,1 Henry IV,1639
210,228,0,1 Henry IV,1608
221,236,150,1 Henry IV,1613
249,263,173,1 Henry IV,1632
86,64,52,Hamlet,1637
261,278,184,1 Henry IV,1639
310,351,0,Henry V,1602
374,396,266,Julius Caesar,1684
326,367,249,Henry V,1619
330,373,252,Henry V,1619
263,279,185,1 Henry IV,1639
81,58,46,Hamlet,1637
521,542,360,King Lear,1655
475,500,0,King Lear,1608
493,522,342,King Lear,1619
588,580,399,Love's Labors Lost,1631
245,259,170,1 Henry IV,1632
581,570,384,Love's Labors Lost,1631
622,605,412,The Merchant of Venice,1600
627,613,422,The Merchant of Venice,1600
495,523,343,King Lear,1619
679,664,461,The Merchant of Venice,1637
670,655,452,The Merchant of Venice,1637
748,722,508,The Merry Wives of Windsor,1619
726,713,500,The Merry Wives of Windsor,1619
723,711,499,The Merry Wives of Windsor,1619
781,761,543,A Midsummer Night's Dream,1619
782,763,544,A Midsummer Night's Dream,1619
786,765,557,A Midsummer Night's Dream,1619
852,829,0,Othello,1630
323,364,246,Henry V,1619
1204,970,679,Richard II,1598
1205,971,680,Richard II,1598
1226,992,699,Richard II,1615
1324,1085,771,Richard III,1634
1310,1073,764,Richard III,1629
1352,1111,796,Romeo and Juliet,1599
1307,1071,762,Richard III,1629
1332,1094,779,Richard III,1634
1474,1168,841,The Taming of a/the Shrew,1631
1541,1203,872,Titus Andronicus,1611
209,225,139,1 Henry IV,1608
38,12,11,Hamlet,1611
39,13,11,Hamlet,1611
57,31,26,Hamlet,1625
217,234,147,1 Henry IV,1613
303,346,229,Henry V,1600
472,499,324,King Lear,1608
567,557,375,Love's Labors Lost,1598
1304,1066,757,Richard III,1629
1326,1088,774,Richard III,1634
583,572,386,Love's Labors Lost,1631
825,799,576,Othello,1622
824,798,575,Othello,1622
1202,969,678,Richard II,1598
1222,988,694,Richard II,1615
1266,1029,729,Richard III,1598
1278,1040,738,Richard III,1605
1235,1004,708,Richard II,1634
1298,1061,753,Richard III,1622
1547,1212,880,Troilus and Cressida,1609
518,534,354,King Lear,1619
1246,1007,710,Richard II,1634
1257,1006,0,Richard II,1634
596,574,387,Love's Labors Lost,1631
1336,1089,775,Richard III,1634
89,67,53,Hamlet,1637
575,563,374,Love's Labors Lost,1598
1546,1208,877,Troilus and Cressida,1609
204,213,130,1 Henry IV,1599
789,775,0,A Midsummer Night's Dream,1619
1252,1019,0,Richard II,1634
577,566,0,Love's Labors Lost,1598
383,0,272,Julius Caesar,1684
1545,1210,0,Troilus and Cressida,1609
1357,1117,0,Romeo and Juliet,1599
684,669,0,The Merchant of Venice,1637
1536,1204,0,Titus Andronicus,1611
300,331,0,2 Henry IV,1600
887,872,0,Othello,1655
441,451,0,Julius Caesar,1695
479,504,328,King Lear,1608
470,488,295,Julius Caesar,1695
425.5,446,0,Julius Caesar,1691
714,696,0,The Merry Wives of Windsor,1619
131,84,66,Hamlet,1683
518.5,528,336,King Lear,1619
602.5,587,388,Love's Labors Lost,1631
606.5,592,0,Love's Labors Lost,1631
866.5,834,0,Othello,1630
